iso2c,country,year,status,lastupdated,agrid_land_km,agrid_land_per,arable_per,rural_below_5,rural_below_5_per,urban_below_5,urban_below_5_per,land_below_5_per,forest_km,forest_per,irrigated_land_per,avg_precip_mm,cereal_yield,pop_growth,pop_tot,urban_pop_growth,urban_pop,urban_pop_per,for_invest_per,ease_business,cpia_public_sec,school_enroll,school_complete,mort_rate,health_workers,underweight_5_per,pov_headcount,elec_access_per,coal_power_per,hydro_power_per,gas_power_per,nuke_power_per,oil_power_per,renew_power_per,renew_non_hydro,renew_non_hydro_per,renew_consum_per,energy_use_oil_eqiv,elec_consum_kw,energy_use_oil_percap,co2_intensity,co2_gaseous_kt,co2_gaseous_per,co2_emissions,co2_emissions_met,co2_liquid_kt,co2_liquid_per,co2_emmision_mt,co2_emission_ppp,co2_emission_2017,co2_solid_kt,co2_solid_per,other_greenhouse_mt,other_greenhouse_per,total_greenhouse_mt,total_greenhouse_per,hfc_emissions_mt,methane_mt,methane_per,no_emission_mt,no_emission_per,pfc_emission_mt,sf6_emission_mt,disaster_risk_score,ghg_emission_mt,dro_flood_extemp_per,rural_pop_below_5,urban_pop_below_5,pop_below_5_per,pop_agglo_mil_per,water_withdrawals_cub,water_withdrawals_per,terr_protect_per,marine_protect_per,terr_mari_protect_per,agri_forest_fish_gdp_per,iso3c,region,capital,longitude,latitude,income,lending
AM,Armenia,2010,,4/8/2022,17350,60.94134176,15.75342466,NA,NA,NA,NA,NA,3305.6,11.61081841,8.945244957,NA,2068.2,-0.37395489,2877314,-0.531464074,1825368,63.44,5.716037845,NA,3.7,0.995220006,94.49523163,18.3,NA,5.3,1,99.8,0,39.37759975,22.15375135,38.36080727,0,39.48544138,7000000,0.107841627,9.357099533,92.93658448,1726.262758,863.0274624,1.747744142,2955.602,68.10142857,0.509778055,4340,1008.425,23.23559908,1.508351191,0.200944112,0.162429371,3.667,0.084493088,468.6383972,511.5273899,7750,-53.93013435,565,2370,15.19258054,790,22.45038621,0,0,NA,NA,NA,NA,NA,NA,37.03443559,NA,NA,NA,NA,NA,NA,ARM,Europe & Central Asia,Yerevan,44.509,40.1596,Upper middle income,IBRD
AO,Angola,2010,,4/8/2022,525120,42.12079891,3.288682121,1516.944458,0.121391911,54.13067627,0.004331751,0.125723662,721580,57.87920109,NA,NA,629.3,3.671493333,23356247,4.932272129,13963065,59.783,-3.851110464,NA,2.4,0.777629972,39.80720901,120.4,NA,NA,NA,34.87972641,0,67.95742338,0,0,32.04257662,67.95742338,0,0,50.76480103,67.72398915,206.4544017,520.9623361,2.344727548,1371.458,4.807073256,0.306249686,28530,13380.883,46.90109709,1.221514741,0.185415477,0.158794303,0,0,5488.927002,7308.312282,84120,-21.21213139,31,37730,-15.65985383,17680,-79.85772706,0,0,NA,NA,NA,0.241155861,1.194938507,1.436094368,22.69399703,NA,NA,NA,NA,NA,6.180293181,AGO,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
AR,Argentina,2010,,4/8/2022,1474810,53.89028352,13.8784444,22906.61719,0.834393435,1605.261963,0.058473062,0.892866497,302140,11.04034436,NA,NA,4848.6,0.752217993,40788453,0.926286489,37055902,90.849,2.675161719,NA,NA,1.035979986,103.5674133,14.5,NA,NA,1.4,98.82,2.405339166,26.81318506,49.98203779,5.724755115,13.30241173,28.5854562,2220000000,1.772271142,8.787500381,81.99609724,2877.652653,1928.652357,2.137370726,86999.575,51.74234269,0.304194665,168140,90219.201,53.65719103,4.122245087,0.228228328,0.175256058,3993.363,2.3750226,-4037.260742,100.453613,334590,36.81387061,506,109830,-15.02835928,41650,35.15431975,134,444,NA,NA,NA,0.964062023,2.064850675,3.028912698,44.15555304,NA,NA,NA,NA,NA,7.132167451,ARG,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
AS,American Samoa,2010,,4/8/2022,49,24.5,15,4.429729939,2.173469766,2.816686869,1.382021892,3.555491658,174.3,87.15,NA,NA,NA,-1.048262953,56084,-1.165674753,49126,87.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.6666667,NA,177.8884027,NA,NA,45.43406265,NA,2458.633574,NA,NA,NA,NA,NA,1.302508961,1.968505142,3.271014103,NA,NA,NA,NA,NA,NA,NA,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AT,Austria,2010,,4/8/2022,27792,33.65830618,16.51669472,NA,NA,NA,NA,NA,38632,46.78640201,0.95279217,NA,5903.1,0.2403943,8363404,-0.253173146,4800510,57.399,-5.615650034,NA,NA,0.968720019,NA,4.3,NA,NA,0.5,100,9.868401684,56.47098655,21.12491536,0,1.875349604,66.21132275,6617000000,9.740336209,31.13459969,78.14290356,8382.711154,4051.19602,2.064826034,18602.691,26.59046741,0.193111217,69960,33795.072,48.30627787,8.365015011,0.199122276,0.161351502,13039.852,18.63901086,-3482.37793,88.2496089,82720,17.95583858,2835,7580,-16.33025236,3520,-29.25088694,236,183,NA,NA,NA,NA,NA,NA,20.6931173,NA,NA,NA,NA,NA,1.267327672,AUT,Europe & Central Asia,Vienna,16.3798,48.2201,High income,Not classified
AU,Australia,2010,,4/8/2022,3763720,48.99209872,3.312836,44375.9375,0.577938848,1739.064575,0.022649053,0.600587901,1295461,16.86293167,0.48914372,NA,1661.5,1.555489589,22031750,1.695285378,18767085,85.182,3.068235066,NA,NA,NA,NA,4.8,NA,NA,0.3,100,71.32764169,5.344130837,17.64687256,0,2.413606121,8.611879628,8256000000,3.267748792,8.163399696,128.9795937,10726.92818,5793.116026,3.034885696,65136.921,16.81603743,0.32798192,387350,114806.436,29.63894049,17.58144496,0.446948048,0.391438324,206294.419,53.25788537,-21765.14063,483.463359,571220,62.16162359,7992,119320,6.447242727,54650,-18.17608265,567,492,NA,NA,NA,0.903205208,3.613415547,4.516620755,59.23583465,NA,NA,NA,NA,NA,2.206226619,AUS,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified
AW,Aruba,2010,,4/8/2022,20,11.11111111,11.11111111,4.278098583,2.352464008,8.57979393,4.717903532,7.07036754,4.2,2.333333333,NA,NA,NA,0.209731414,101665,-0.62623316,43776,43.059,7.812573031,NA,NA,1.014600039,94.78610229,NA,NA,NA,NA,93.35629215,NA,NA,NA,NA,NA,11.32737715,NA,NA,5.464700222,NA,NA,NA,NA,0,NA,NA,NA,2508.228,NA,NA,NA,NA,0,NA,NA,-137.5,NA,NA,NA,NA,49.8385694,NA,-46.19561513,NA,NA,NA,NA,NA,2.351122785,4.71804376,7.069166545,NA,NA,NA,NA,NA,NA,NA,ABW,Latin America & Caribbean,Oranjestad,-70.0167,12.5167,High income,Not classified
AZ,Azerbaijan,2010,,4/8/2022,47668,57.67034456,22.79447348,NA,NA,NA,NA,NA,10324.9459,12.49146571,29.47679785,NA,2020.6,1.189787708,9054332,1.595056682,4835557,53.406,6.337255133,NA,3.1,NA,89.51445007,37.3,NA,NA,NA,99.94705963,0,18.41795831,81.45376804,0,0.122928915,18.42330305,1000000,0.005344735,4.448999882,90.86287142,1603.431374,1279.552594,2.084503259,17982.968,74.46363561,0.503258427,24150,8701.791,36.03226087,2.667231553,0.18172662,0.189403952,22.002,0.09110559,-53.94232178,354.9096619,78990,-35.04895639,86,51220,60.58384605,3290,-0.721445682,197,0,NA,NA,NA,NA,NA,NA,22.77189527,NA,NA,NA,NA,NA,5.521252796,AZE,Europe & Central Asia,Baku,49.8932,40.3834,Upper middle income,IBRD
B8,Central Europe and the Baltics,2010,,4/8/2022,526624.6,47.69449633,33.64577233,11074.29983,1.227460895,1705.833982,0.189576891,1.417037786,372478.2,33.73401118,NA,NA,3764.982061,-0.3616663,104421447,-0.297339945,64768515,62.02606502,1.59321678,NA,NA,0.993990004,97.24108887,7.33099819,NA,NA,NA,100,53.24382119,11.46370243,8.257793264,19.35259889,1.389539688,15.22325895,17652000000,3.759680346,14.54155958,109.2618145,4017.412247,2634.983932,2.575406143,130083.158,18.35725184,0.618098643,708620,174050.488,24.56189326,6.786153806,0.326115244,0.281393548,390751.853,55.14265093,-21765.4198,-74.56398555,903200,-28.8634627,13639,123840,-33.630357,56460,-36.26064586,690,388.6337554,NA,NA,NA,0.551903445,1.611413341,2.163316786,NA,NA,NA,NA,NA,NA,2.925922473,CEB,Aggregates,,,,Aggregates,Aggregates
BA,Bosnia and Herzegovina,2010,,4/8/2022,21440,41.875,19.609375,36.42740631,0.071340169,29.03381348,0.056860407,0.128200576,21026.6,41.06757813,NA,NA,3853,-0.818853336,3705478,-0.116154964,1688142,45.558,2.583954502,NA,3.3,NA,NA,7.2,NA,NA,NA,100,52.53445457,46.86989021,0.315346882,0,0.280308339,46.86989021,0,0,19.56780052,159.9080353,3155.598279,1749.120356,3.215390922,458.375,2.199496161,1.373786911,20840,4462.739,21.41429463,5.624105716,0.601620298,0.514166845,15885.444,76.22573896,-892.4125977,-7.251294681,25960,-18.19772036,755,3790,-32.92006667,1100,-12.5456787,130,0,NA,NA,NA,0.061085802,0.050628051,0.111713853,NA,NA,NA,NA,NA,NA,6.796762056,BIH,Europe & Central Asia,Sarajevo,18.4214,43.8607,Upper middle income,IBRD
BB,Barbados,2010,,4/8/2022,150,34.88372093,27.90697674,1.076961994,0.247473463,2.037552595,0.46820612,0.715679583,63,14.65116279,NA,NA,2884.2,0.363612231,282131,-0.239938797,89915,31.87,9.389344649,NA,NA,1.010689974,95.61657715,15,NA,NA,NA,100,NA,NA,NA,NA,NA,0,NA,NA,9.077500343,NA,NA,NA,NA,29.336,1.845031447,0.336365552,1590,1331.121,83.71830189,5.635679879,0.349438603,0.361339895,0,0,382.854805,-114.2857143,4000,NA,NA,2300,-16.61962852,50,-17.75579576,NA,NA,NA,NA,NA,0.236790686,0.468918085,0.705708771,NA,NA,NA,NA,NA,NA,NA,BRB,Latin America & Caribbean,Bridgetown,-59.6105,13.0935,High income,Not classified
BD,Bangladesh,2010,,4/8/2022,92410,70.99177998,59.85250058,12137.62109,8.989830464,873.0510864,0.646632581,9.636463045,18883.4204,14.50673765,NA,NA,4288.3,1.124806897,147575433,3.627804304,44954428,30.462,1.068934861,NA,3,1.085950017,67.83219147,49.1,NA,NA,19.2,55.26,1.89262074,1.787202746,92.6967394,0,3.623437117,1.787202746,0,0,41.0746994,71.70575212,247.2633775,206.7611552,1.65766134,39431.251,77.95818703,0.352283442,50580,10850.653,21.45245749,0.342739974,0.140520783,0.118863853,3076.613,6.082667062,-8226.089844,-86.98176446,155970,40.09636746,0,78460,18.35664757,26060,61.46517778,0,0,NA,NA,NA,7.123837738,1.792305621,8.916143359,12.76404657,NA,NA,NA,NA,NA,17.00118126,BGD,South Asia,Dhaka,90.4113,23.7055,Lower middle income,IDA
BE,Belgium,2010,,4/8/2022,13557,44.77212682,27.54293263,843.8564453,2.772094027,1497.484741,4.919282811,7.691376838,6898.7,22.7830251,NA,NA,9348.1,0.913639392,10895586,0.962809677,10639649,97.651,26.09241495,NA,NA,1.083389997,NA,4.4,NA,NA,0.1,100,6.346381337,0.332505622,33.48502126,51.09503053,0.432683597,6.920806113,6182000000,6.588300491,5.824800014,115.4716854,8393.949623,5539.472223,1.764039364,38353.153,36.02249742,0.245758863,106470,54979.331,51.63833099,9.771847058,0.245276743,0.203696599,13886.929,13.04304405,651.6347656,472.5403116,124460,0.113792704,2657,9260,-22.60064283,6130,3.068440609,26,93,NA,NA,NA,1.215006283,9.951888064,11.16689435,26.78997715,NA,NA,NA,NA,NA,0.765104157,BEL,Europe & Central Asia,Brussels,4.36761,50.8371,High income,Not classified
BF,Burkina Faso,2010,,4/8/2022,120800,44.15204678,21.92982456,NA,NA,NA,NA,NA,67165,24.54861111,NA,NA,1062.7,3.019212844,15605211,5.293913844,3844032,24.633,0.384492249,NA,3.7,0.877110004,47.05522156,121.5,0.126,26.2,NA,13.1,NA,NA,NA,NA,NA,20.78542367,NA,NA,81.45410156,NA,NA,NA,NA,0,0,0.229955363,2090,1811.498,86.67454545,0.133929621,0.089161348,0.078031271,0,0,409.3630981,10172,24810,257.2205865,NA,13500,102.5915426,8790,71.87449279,NA,NA,NA,NA,NA,NA,NA,NA,11.16320055,NA,NA,NA,NA,NA,24.14338662,BFA,Sub-Saharan Africa,Ouagadougou,-1.53395,12.3605,Low income,IDA
BG,Bulgaria,2010,,4/8/2022,50520,46.53647752,29.34782609,143.3030243,0.129666107,82.49730682,0.074646747,0.204312854,37370,34.42336035,1.781472684,NA,4031,-0.658275447,7395599,-0.188314948,5347166,72.302,3.636197822,NA,NA,0.970260024,113.3395615,10.8,NA,NA,2,100,49.12532325,10.98941695,4.274507247,33.13775344,0.854032205,12.57796032,731000000,1.588543364,14.24059963,133.0739519,4560.414917,2416.703907,2.509375469,5269.479,11.74911706,0.966882454,44850,11155.014,24.87182609,6.0644175,0.405470712,0.33393251,26710.428,59.55502341,-3038.418457,226.9715326,57040,-37.13774526,648,7780,-23.37915856,3710,-51.69950459,18,0,NA,NA,NA,0.140460177,0.594744866,0.735205043,16.44198124,NA,NA,NA,NA,NA,4.033035106,BGR,Europe & Central Asia,Sofia,23.3238,42.7105,Upper middle income,IBRD
BH,Bahrain,2010,,4/8/2022,86,11.28608924,2.099737533,84.21029663,12.67421253,141.5125275,21.2985813,33.97279383,5.2,0.682414698,NA,NA,NA,4.600184745,1240864,4.662181172,1099827,88.634,0.605800046,NA,NA,NA,NA,8.5,NA,NA,NA,100,0,0,100,0,0,0,0,0,0,228.8762256,18038.23787,10207.83502,2.051073952,24554.232,94.51205543,0.997840281,25980,4118.041,15.85081216,20.93702452,0.446676079,0.469442065,0,0,7983.924759,-87.4015748,38920,81.35299412,0,11620,84.0022665,80,77.30186866,320,0,NA,NA,NA,9.937365824,24.34428742,34.28165324,NA,NA,NA,NA,NA,NA,0.297677228,BHR,Middle East & North Africa,Manama,50.5354,26.1921,High income,Not classified
BI,Burundi,2010,,4/8/2022,18330,71.37850467,36.99376947,NA,NA,NA,NA,NA,1939.4,7.552180685,NA,NA,1231.9,3.256196461,8675606,5.787531448,923258,10.642,0.038411912,NA,2.6,0.938820004,51.54841995,91,NA,29.1,NA,5.3,NA,NA,NA,NA,NA,87.65339961,NA,NA,92.57050323,NA,NA,NA,NA,0,0,0.117726272,320,293.36,91.675,0.036885031,0.05562896,0.043590613,18.335,5.7296875,-446.8649225,636.0482655,3810,115.8311087,NA,1630,55.29616704,1710,15.04566273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.43054529,BDI,Sub-Saharan Africa,Bujumbura,29.3639,-3.3784,Low income,IDA
BJ,Benin,2010,,4/8/2022,36500,32.36963462,22.17098262,1041.685791,0.902954539,106.7590179,0.092540899,0.995495438,36351.5,32.23793899,NA,NA,1200.6,2.805976233,9199254,4.003573958,3964235,43.093,0.561144791,NA,3.3,NA,66.71160889,109,NA,NA,NA,34.2,0,0,0,0,99.13043478,0.869565217,1000000,0.869565217,47.19290161,146.8317171,95.44252175,397.1365504,1.390500799,0,0,0.558580482,5080,4440.737,87.41608268,0.552218691,0.233583226,0.20416962,0,0,429.5688324,-53.97027175,12270,-30.00372564,0,4520,33.71676922,2280,27.8271486,0,0,NA,NA,NA,3.445851082,8.405598377,11.85144946,NA,NA,NA,NA,NA,NA,25.8411355,BEN,Sub-Saharan Africa,Porto-Novo,2.6323,6.4779,Lower middle income,IDA
BM,Bermuda,2010,,4/8/2022,3,5.555555556,5.555555556,4.521437168,7.363997561,2.775064468,4.519706283,11.88370384,10,18.51851852,NA,NA,NA,-0.783118104,65124,-0.783118104,65124,100,3.356840803,NA,NA,NA,103.2092438,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,0,NA,NA,0.418900013,NA,NA,NA,NA,0,NA,NA,NA,608.722,NA,NA,NA,NA,0,NA,NA,-100,NA,-8.930189546,NA,NA,26.04396791,NA,44.01587645,NA,NA,NA,NA,NA,7.333525761,4.530741331,11.86426709,NA,NA,NA,NA,NA,NA,0.286094289,BMU,North America,Hamilton,-64.706,32.3293,High income,Not classified
BN,Brunei Darussalam,2010,,4/8/2022,134,2.542694497,0.759013283,6.885975838,0.119533858,15.06516552,0.261516654,0.381050512,3800,72.10626186,NA,NA,580.1,1.2250715,388634,1.696980208,291324,74.961,3.50703688,NA,NA,1.001099944,105.3538895,9.7,NA,NA,NA,100,0,0,98.9978903,0,1.002109705,0,0,0,0,123.0602383,8810.345981,8337.75223,2.11706571,6131.224,89.37644315,0.527903373,6860,1591.478,23.19938776,17.65156934,0.219874987,0.260526611,0,0,-300.9278336,-96.02201957,17220,-23.10245622,427,10090,23.23599862,140,-41.23046027,0,0,NA,NA,NA,0.536094073,1.072934394,1.609028467,NA,NA,NA,NA,NA,NA,0.733012306,BRN,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified
BO,Bolivia,2010,,4/8/2022,375160,34.63121942,3.966583587,NA,NA,NA,NA,NA,530860.1,49.00397858,NA,NA,2267.3,1.643581068,10048597,2.317226039,6675283,66.43,3.165443563,NA,3.3,0.994979978,97.25595856,41.6,NA,NA,NA,88.31281281,0,32.19713738,64.11391471,0,1.933008706,33.95307658,119000000,1.755939206,15.6388998,96.19790984,596.5011832,636.1378608,2.352833326,5727.854,38.08413564,0.595253591,15040,7876.716,52.37178191,1.496726359,0.2896641,0.226337648,0,0,53.9119873,-61.4583955,47730,-46.58561375,0,23000,1.515428398,9520,-34.67693842,0,0,NA,NA,NA,NA,NA,NA,39.67510091,NA,NA,NA,NA,NA,10.38990567,BOL,Latin America & Caribbean,La Paz,-66.1936,-13.9908,Lower middle income,IBRD
